width	height		
181	east	26.25	5.4
182	east	26.18	4.62
183	east	26.11	4.02
184	east	26.04	3.24
185	east	25.97	2.64
186	east	25.9	1.86
187	east	27.04	1.45
188	east	27.11	2.23
189	east	27.18	2.83
190	east	27.25	3.61
191	east	27.32	4.39
192	south	27.65	4.94
193	south	28.43	4.94
194	south	29.03	4.94
195	south	29.81	4.94
196	south	30.41	4.94
197	south	31.19	4.94
198	west	31.52	4.39
199	west	31.59	3.61
200	west	31.66	2.83
201	west	31.73	2.23
202	west	31.8	1.45
203	south	28.67	3.5
204	south	29.42	3.5
205	south	30.17	3.5
206	south	28.67	2.07
207	south	29.42	2.07
208	south	30.17	2.07
209	east	36.94	2.27
210	east	37.01	3.05
211	east	37.08	3.65
212	east	37.15	4.43
213	east	37.22	5.03
214	east	37.29	5.81
215	east	37.36	6.59
216	south	37.73	7.26
217	south	38.51	7.26
218	south	39.11	7.26
219	south	39.89	7.26
220	south	40.49	7.26
221	south	41.27	7.26
222	south	41.87	7.26
223	south	42.65	7.26
224	south	43.25	7.26
225	south	44.03	7.26
226	south	44.63	7.26
227	south	45.41	7.26
228	west	45.78	6.59
229	west	45.85	5.81
230	west	45.92	5.03
231	west	45.99	4.43
232	west	46.06	3.65
233	west	46.13	3.05
234	west	46.2	2.27
235	west	45.06	1.86
236	west	44.99	2.64
237	west	44.92	3.24
238	west	44.85	4.02
239	west	44.78	4.62
240	west	44.71	5.4
241	south	44.33	6.06
242	south	43.55	6.06
243	south	42.95	6.06
244	south	42.17	6.06
245	south	41.57	6.06
246	south	40.79	6.06
247	south	40.19	6.06
248	south	39.41	6.06
249	south	38.63	6.06
250	east	38.25	5.4
251	east	38.18	4.62
252	east	38.11	4.02
253	east	38.04	3.24
254	east	37.97	2.64
255	east	37.9	1.86
256	east	39.04	1.45
257	east	39.11	2.23
258	east	39.18	2.83
259	east	39.25	3.61
260	east	39.32	4.39
261	south	39.65	4.94
262	south	40.43	4.94
263	south	41.03	4.94
264	south	41.81	4.94
265	south	42.41	4.94
266	south	43.19	4.94
267	west	43.52	4.39
268	west	43.59	3.61
269	west	43.66	2.83
270	west	43.73	2.23
271	west	43.8	1.45
272	south	40.67	3.5
273	south	41.42	3.5
274	south	42.17	3.5
275	south	40.67	2.07
276	south	41.42	2.07
277	south	42.17	2.07
278	east	0.94	10.27
279	east	1.01	11.05
280	east	1.08	11.65
281	east	1.15	12.43
282	east	1.22	13.03
283	east	1.29	13.81
284	east	1.36	14.59
285	south	1.73	15.26
286	south	2.51	15.26
287	south	3.11	15.26
288	south	3.89	15.26
289	south	4.49	15.26
290	south	5.27	15.26
291	south	5.87	15.26
292	south	6.65	15.26
293	south	7.25	15.26
294	south	8.03	15.26
295	south	8.63	15.26
296	south	9.41	15.26
297	west	9.78	14.59
298	west	9.85	13.81
299	west	9.92	13.03
300	west	9.99	12.43
301	west	10.06	11.65
302	west	10.13	11.05
303	west	10.2	10.27
304	west	9.06	9.86
305	west	8.99	10.64
306	west	8.92	11.24
307	west	8.85	12.02
308	west	8.78	12.62
309	west	8.71	13.4
310	south	8.33	14.06
311	south	7.55	14.06
312	south	6.95	14.06
313	south	6.17	14.06
314	south	5.57	14.06
315	south	4.79	14.06
316	south	4.19	14.06
317	south	3.41	14.06
318	south	2.63	14.06
319	east	2.25	13.4
320	east	2.18	12.62
321	east	2.11	12.02
322	east	2.04	11.24
323	east	1.97	10.64
324	east	1.9	9.86
325	east	3.04	9.45
326	east	3.11	10.23
327	east	3.18	10.83
328	east	3.25	11.61
329	east	3.32	12.39
330	south	3.65	12.94
331	south	4.43	12.94
332	south	5.03	12.94
333	south	5.81	12.94
334	south	6.41	12.94
335	south	7.19	12.94
336	west	7.52	12.39
337	west	7.59	11.61
338	west	7.66	10.83
339	west	7.73	10.23
340	west	7.8	9.45
341	south	4.67	11.5
342	south	5.42	11.5
343	south	6.17	11.5
344	south	4.67	10.07
345	south	5.42	10.07
346	south	6.17	10.07
347	east	12.94	10.27
348	east	13.01	11.05
349	east	13.08	11.65
350	east	13.15	12.43
351	east	13.22	13.03
352	east	13.29	13.81
353	east	13.36	14.59
354	south	13.73	15.26
355	south	14.51	15.26
356	south	15.11	15.26
357	south	15.89	15.26
358	south	16.49	15.26
359	south	17.27	15.26
360	south	17.87	15.26
361	south	18.65	15.26
362	south	19.25	15.26
363	south	20.03	15.26
364	south	20.63	15.26
365	south	21.41	15.26
366	west	21.78	14.59
367	west	21.85	13.81
368	west	21.92	13.03
369	west	21.99	12.43
370	west	22.06	11.65
371	west	22.13	11.05
372	west	22.2	10.27
373	west	21.06	9.86
374	west	20.99	10.64
375	west	20.92	11.24
376	west	20.85	12.02
377	west	20.78	12.62
378	west	20.71	13.4
379	south	20.33	14.06
380	south	19.55	14.06
381	south	18.95	14.06
382	south	18.17	14.06
383	south	17.57	14.06
384	south	16.79	14.06
385	south	16.19	14.06
386	south	15.41	14.06
387	south	14.63	14.06
388	east	14.25	13.4
389	east	14.18	12.62
390	east	14.11	12.02
391	east	14.04	11.24
392	east	13.97	10.64
393	east	13.9	9.86
394	east	15.04	9.45
395	east	15.11	10.23
396	east	15.18	10.83
397	east	15.25	11.61
398	east	15.32	12.39
399	south	15.65	12.94
400	south	16.43	12.94
401	south	17.03	12.94
402	south	17.81	12.94
403	south	18.41	12.94
404	south	19.19	12.94
405	west	19.52	12.39
406	west	19.59	11.61
407	west	19.66	10.83
408	west	19.73	10.23
409	west	19.8	9.45
410	south	16.67	11.5
411	south	17.42	11.5
412	south	18.17	11.5
413	south	16.67	10.07
414	south	17.42	10.07
415	south	18.17	10.07
416	east	24.94	10.27
417	east	25.01	11.05
418	east	25.08	11.65
419	east	25.15	12.43
420	east	25.22	13.03
421	east	25.29	13.81
422	east	25.36	14.59
423	south	25.73	15.26
424	south	26.51	15.26
425	south	27.11	15.26
426	south	27.89	15.26
427	south	28.49	15.26
428	south	29.27	15.26
429	south	29.87	15.26
430	south	30.65	15.26
431	south	31.25	15.26
432	south	32.03	15.26
433	south	32.63	15.26
434	south	33.41	15.26
435	west	33.78	14.59
436	west	33.85	13.81
437	west	33.92	13.03
438	west	33.99	12.43
439	west	34.06	11.65
440	west	34.13	11.05
441	west	34.2	10.27
442	west	33.06	9.86
443	west	32.99	10.64
444	west	32.92	11.24
445	west	32.85	12.02
446	west	32.78	12.62
447	west	32.71	13.4
448	south	32.33	14.06
449	south	31.55	14.06
450	south	30.95	14.06
451	south	30.17	14.06
452	south	29.57	14.06
453	south	28.79	14.06
454	south	28.19	14.06
455	south	27.41	14.06
456	south	26.63	14.06
457	east	26.25	13.4
458	east	26.18	12.62
459	east	26.11	12.02
460	east	26.04	11.24
461	east	25.97	10.64
462	east	25.9	9.86
463	east	27.04	9.45
464	east	27.11	10.23
465	east	27.18	10.83
466	east	27.25	11.61
467	east	27.32	12.39
468	south	27.65	12.94
469	south	28.43	12.94
470	south	29.03	12.94
471	south	29.81	12.94
472	south	30.41	12.94
473	south	31.19	12.94
474	west	31.52	12.39
475	west	31.59	11.61
476	west	31.66	10.83
477	west	31.73	10.23
478	west	31.8	9.45
479	south	28.67	11.5
480	south	29.42	11.5
481	south	30.17	11.5
482	south	28.67	10.07
483	south	29.42	10.07
484	south	30.17	10.07
485	east	36.94	10.27
486	east	37.01	11.05
487	east	37.08	11.65
488	east	37.15	12.43
489	east	37.22	13.03
490	east	37.29	13.81
491	east	37.36	14.59
492	south	37.73	15.26
493	south	38.51	15.26
494	south	39.11	15.26
495	south	39.89	15.26
496	south	40.49	15.26
497	south	41.27	15.26
498	south	41.87	15.26
499	south	42.65	15.26
500	south	43.25	15.26
501	south	44.03	15.26
502	south	44.63	15.26
503	south	45.41	15.26
504	west	45.78	14.59
505	west	45.85	13.81
506	west	45.92	13.03
507	west	45.99	12.43
508	west	46.06	11.65
509	west	46.13	11.05
510	west	46.2	10.27
511	west	45.06	9.86
512	west	44.99	10.64
513	west	44.92	11.24
514	west	44.85	12.02
515	west	44.78	12.62
516	west	44.71	13.4
517	south	44.33	14.06
518	south	43.55	14.06
519	south	42.95	14.06
520	south	42.17	14.06
521	south	41.57	14.06
522	south	40.79	14.06
523	south	40.19	14.06
524	south	39.41	14.06
525	south	38.63	14.06
526	east	38.25	13.4
527	east	38.18	12.62
528	east	38.11	12.02
529	east	38.04	11.24
530	east	37.97	10.64
531	east	37.9	9.86
532	east	39.04	9.45
533	east	39.11	10.23
534	east	39.18	10.83
535	east	39.25	11.61
536	east	39.32	12.39
537	south	39.65	12.94
538	south	40.43	12.94
539	south	41.03	12.94
540	south	41.81	12.94
541	south	42.41	12.94
542	south	43.19	12.94
543	west	43.52	12.39
544	west	43.59	11.61
545	west	43.66	10.83
546	west	43.73	10.23
547	west	43.8	9.45
548	south	40.67	11.5
549	south	41.42	11.5
550	south	42.17	11.5
551	south	40.67	10.07
552	south	41.42	10.07
553	south	42.17	10.07
554	east	0.94	18.27
555	east	1.01	19.05
556	east	1.08	19.65
557	east	1.15	20.43
558	east	1.22	21.03
559	east	1.29	21.81
560	east	1.36	22.59
561	south	1.73	23.26
562	south	2.51	23.26
563	south	3.11	23.26
564	south	3.89	23.26
565	south	4.49	23.26
566	south	5.27	23.26
567	south	5.87	23.26
568	south	6.65	23.26
569	south	7.25	23.26
570	south	8.03	23.26
571	south	8.63	23.26
572	south	9.41	23.26
573	west	9.78	22.59
574	west	9.85	21.81
575	west	9.92	21.03
576	west	9.99	20.43
577	west	10.06	19.65
578	west	10.13	19.05
579	west	10.2	18.27
580	west	9.06	17.86
581	west	8.99	18.64
582	west	8.92	19.24
583	west	8.85	20.02
584	west	8.78	20.62
585	west	8.71	21.4
586	south	8.33	22.06
587	south	7.55	22.06
588	south	6.95	22.06
589	south	6.17	22.06
590	south	5.57	22.06
591	south	4.79	22.06
592	south	4.19	22.06
593	south	3.41	22.06
594	south	2.63	22.06
595	east	2.25	21.4
596	east	2.18	20.62
597	east	2.11	20.02
598	east	2.04	19.24
599	east	1.97	18.64
600	east	1.9	17.86
601	east	3.04	17.45
602	east	3.11	18.23
603	east	3.18	18.83
604	east	3.25	19.61
605	east	3.32	20.39
606	south	3.65	20.94
607	south	4.43	20.94
608	south	5.03	20.94
609	south	5.81	20.94
610	south	6.41	20.94
611	south	7.19	20.94
612	west	7.52	20.39
613	west	7.59	19.61
614	west	7.66	18.83
615	west	7.73	18.23
616	west	7.8	17.45
617	south	4.67	19.5
618	south	5.42	19.5
619	south	6.17	19.5
620	south	4.67	18.07
621	south	5.42	18.07
622	south	6.17	18.07
623	east	12.94	18.27
624	east	13.01	19.05
625	east	13.08	19.65
626	east	13.15	20.43
627	east	13.22	21.03
628	east	13.29	21.81
629	east	13.36	22.59
630	south	13.73	23.26
631	south	14.51	23.26
632	south	15.11	23.26
633	south	15.89	23.26
634	south	16.49	23.26
635	south	17.27	23.26
636	south	17.87	23.26
637	south	18.65	23.26
638	south	19.25	23.26
639	south	20.03	23.26
640	south	20.63	23.26
641	south	21.41	23.26
642	west	21.78	22.59
643	west	21.85	21.81
644	west	21.92	21.03
645	west	21.99	20.43
646	west	22.06	19.65
647	west	22.13	19.05
648	west	22.2	18.27
649	west	21.06	17.86
650	west	20.99	18.64
651	west	20.92	19.24
652	west	20.85	20.02
653	west	20.78	20.62
654	west	20.71	21.4
655	south	20.33	22.06
656	south	19.55	22.06
657	south	18.95	22.06
658	south	18.17	22.06
659	south	17.57	22.06
660	south	16.79	22.06
661	south	16.19	22.06
662	south	15.41	22.06
663	south	14.63	22.06
664	east	14.25	21.4
665	east	14.18	20.62
666	east	14.11	20.02
667	east	14.04	19.24
668	east	13.97	18.64
669	east	13.9	17.86
670	east	15.04	17.45
671	east	15.11	18.23
672	east	15.18	18.83
673	east	15.25	19.61
674	east	15.32	20.39
675	south	15.65	20.94
676	south	16.43	20.94
677	south	17.03	20.94
678	south	17.81	20.94
679	south	18.41	20.94
680	south	19.19	20.94
681	west	19.52	20.39
682	west	19.59	19.61
683	west	19.66	18.83
684	west	19.73	18.23
685	west	19.8	17.45
686	south	16.67	19.5
687	south	17.42	19.5
688	south	18.17	19.5
689	south	16.67	18.07
690	south	17.42	18.07
691	south	18.17	18.07
692	east	24.94	18.27
693	east	25.01	19.05
694	east	25.08	19.65
695	east	25.15	20.43
696	east	25.22	21.03
697	east	25.29	21.81
698	east	25.36	22.59
699	south	25.73	23.26
700	south	26.51	23.26
701	south	27.11	23.26
702	south	27.89	23.26
703	south	28.49	23.26
704	south	29.27	23.26
705	south	29.87	23.26
706	south	30.65	23.26
707	south	31.25	23.26
708	south	32.03	23.26
709	south	32.63	23.26
710	south	33.41	23.26
711	west	33.78	22.59
712	west	33.85	21.81
713	west	33.92	21.03
714	west	33.99	20.43
715	west	34.06	19.65
716	west	34.13	19.05
717	west	34.2	18.27
718	west	33.06	17.86
719	west	32.99	18.64
720	west	32.92	19.24
721	west	32.85	20.02
722	west	32.78	20.62
723	west	32.71	21.4
724	south	32.33	22.06
725	south	31.55	22.06
726	south	30.95	22.06
727	south	30.17	22.06
728	south	29.57	22.06
729	south	28.79	22.06
730	south	28.19	22.06
731	south	27.41	22.06
732	south	26.63	22.06
733	east	26.25	21.4
734	east	26.18	20.62
735	east	26.11	20.02
736	east	26.04	19.24
737	east	25.97	18.64
738	east	25.9	17.86
739	east	27.04	17.45
740	east	27.11	18.23
741	east	27.18	18.83
742	east	27.25	19.61
743	east	27.32	20.39
744	south	27.65	20.94
745	south	28.43	20.94
746	south	29.03	20.94
747	south	29.81	20.94
748	south	30.41	20.94
749	south	31.19	20.94
750	west	31.52	20.39
751	west	31.59	19.61
752	west	31.66	18.83
753	west	31.73	18.23
754	west	31.8	17.45
755	south	28.67	19.5
756	south	29.42	19.5
757	south	30.17	19.5
758	south	28.67	18.07
759	south	29.42	18.07
760	south	30.17	18.07
761	east	36.94	18.27
762	east	37.01	19.05
763	east	37.08	19.65
764	east	37.15	20.43
765	east	37.22	21.03
766	east	37.29	21.81
767	east	37.36	22.59
768	south	37.73	23.26
769	south	38.51	23.26
770	south	39.11	23.26
771	south	39.89	23.26
772	south	40.49	23.26
773	south	41.27	23.26
774	south	41.87	23.26
775	south	42.65	23.26
776	south	43.25	23.26
777	south	44.03	23.26
778	south	44.63	23.26
779	south	45.41	23.26
780	west	45.78	22.59
781	west	45.85	21.81
782	west	45.92	21.03
783	west	45.99	20.43
784	west	46.06	19.65
785	west	46.13	19.05
786	west	46.2	18.27
787	west	45.06	17.86
788	west	44.99	18.64
789	west	44.92	19.24
790	west	44.85	20.02
791	west	44.78	20.62
792	west	44.71	21.4
793	south	44.33	22.06
794	south	43.55	22.06
795	south	42.95	22.06
796	south	42.17	22.06
797	south	41.57	22.06
798	south	40.79	22.06
799	south	40.19	22.06
800	south	39.41	22.06
801	south	38.63	22.06
802	east	38.25	21.4
803	east	38.18	20.62
804	east	38.11	20.02
805	east	38.04	19.24
806	east	37.97	18.64
807	east	37.9	17.86
808	east	39.04	17.45
809	east	39.11	18.23
810	east	39.18	18.83
811	east	39.25	19.61
812	east	39.32	20.39
813	south	39.65	20.94
814	south	40.43	20.94
815	south	41.03	20.94
816	south	41.81	20.94
817	south	42.41	20.94
818	south	43.19	20.94
819	west	43.52	20.39
820	west	43.59	19.61
821	west	43.66	18.83
822	west	43.73	18.23
823	west	43.8	17.45
824	south	40.67	19.5
825	south	41.42	19.5
826	south	42.17	19.5
827	south	40.67	18.07
828	south	41.42	18.07
829	south	42.17	18.07
830	east	0.94	26.27
831	east	1.01	27.05
832	east	1.08	27.65
833	east	1.15	28.43
834	east	1.22	29.03
835	east	1.29	29.81
836	east	1.36	30.59
837	south	1.73	31.26
838	south	2.51	31.26
839	south	3.11	31.26
840	south	3.89	31.26
841	south	4.49	31.26
842	south	5.27	31.26
843	south	5.87	31.26
844	south	6.65	31.26
845	south	7.25	31.26
846	south	8.03	31.26
847	south	8.63	31.26
848	south	9.41	31.26
849	west	9.78	30.59
850	west	9.85	29.81
851	west	9.92	29.03
852	west	9.99	28.43
853	west	10.06	27.65
854	west	10.13	27.05
855	west	10.2	26.27
856	west	9.06	25.86
857	west	8.99	26.64
858	west	8.92	27.24
859	west	8.85	28.02
860	west	8.78	28.62
861	west	8.71	29.4
862	south	8.33	30.06
863	south	7.55	30.06
864	south	6.95	30.06
865	south	6.17	30.06
866	south	5.57	30.06
867	south	4.79	30.06
868	south	4.19	30.06
869	south	3.41	30.06
870	south	2.63	30.06
871	east	2.25	29.4
872	east	2.18	28.62
873	east	2.11	28.02
874	east	2.04	27.24
875	east	1.97	26.64
876	east	1.9	25.86
877	east	3.04	25.45
878	east	3.11	26.23
879	east	3.18	26.83
880	east	3.25	27.61
881	east	3.32	28.39
882	south	3.65	28.94
883	south	4.43	28.94
884	south	5.03	28.94
885	south	5.81	28.94
886	south	6.41	28.94
887	south	7.19	28.94
888	west	7.52	28.39
889	west	7.59	27.61
890	west	7.66	26.83
891	west	7.73	26.23
892	west	7.8	25.45
893	south	4.67	27.5
894	south	5.42	27.5
895	south	6.17	27.5
896	south	4.67	26.07
897	south	5.42	26.07
898	south	6.17	26.07
899	east	12.94	26.27
900	east	13.01	27.05
901	east	13.08	27.65
902	east	13.15	28.43
903	east	13.22	29.03
904	east	13.29	29.81
905	east	13.36	30.59
906	south	13.73	31.26
907	south	14.51	31.26
908	south	15.11	31.26
909	south	15.89	31.26
910	south	16.49	31.26
911	south	17.27	31.26
912	south	17.87	31.26
913	south	18.65	31.26
914	south	19.25	31.26
915	south	20.03	31.26
916	south	20.63	31.26
917	south	21.41	31.26
918	west	21.78	30.59
919	west	21.85	29.81
920	west	21.92	29.03
921	west	21.99	28.43
922	west	22.06	27.65
923	west	22.13	27.05
924	west	22.2	26.27
925	west	21.06	25.86
926	west	20.99	26.64
927	west	20.92	27.24
928	west	20.85	28.02
929	west	20.78	28.62
930	west	20.71	29.4
931	south	20.33	30.06
932	south	19.55	30.06
933	south	18.95	30.06
934	south	18.17	30.06
935	south	17.57	30.06
936	south	16.79	30.06
937	south	16.19	30.06
938	south	15.41	30.06
939	south	14.63	30.06
940	east	14.25	29.4
941	east	14.18	28.62
942	east	14.11	28.02
943	east	14.04	27.24
944	east	13.97	26.64
945	east	13.9	25.86
946	east	15.04	25.45
947	east	15.11	26.23
948	east	15.18	26.83
949	east	15.25	27.61
950	east	15.32	28.39
951	south	15.65	28.94
952	south	16.43	28.94
953	south	17.03	28.94
954	south	17.81	28.94
955	south	18.41	28.94
956	south	19.19	28.94
957	west	19.52	28.39
958	west	19.59	27.61
959	west	19.66	26.83
960	west	19.73	26.23
961	west	19.8	25.45
962	south	16.67	27.5
963	south	17.42	27.5
964	south	18.17	27.5
965	south	16.67	26.07
966	south	17.42	26.07
967	south	18.17	26.07
968	east	24.94	26.27
969	east	25.01	27.05
970	east	25.08	27.65
971	east	25.15	28.43
972	east	25.22	29.03
973	east	25.29	29.81
974	east	25.36	30.59
975	south	25.73	31.26
976	south	26.51	31.26
977	south	27.11	31.26
978	south	27.89	31.26
979	south	28.49	31.26
980	south	29.27	31.26
981	south	29.87	31.26
982	south	30.65	31.26
983	south	31.25	31.26
984	south	32.03	31.26
985	south	32.63	31.26
986	south	33.41	31.26
987	west	33.78	30.59
988	west	33.85	29.81
989	west	33.92	29.03
990	west	33.99	28.43
991	west	34.06	27.65
992	west	34.13	27.05
993	west	34.2	26.27
994	west	33.06	25.86
995	west	32.99	26.64
996	west	32.92	27.24
997	west	32.85	28.02
998	west	32.78	28.62
999	west	32.71	29.4
1000	south	32.33	30.06
1001	south	31.55	30.06
1002	south	30.95	30.06
1003	south	30.17	30.06
1004	south	29.57	30.06
1005	south	28.79	30.06
1006	south	28.19	30.06
1007	south	27.41	30.06
1008	south	26.63	30.06
1009	east	26.25	29.4
1010	east	26.18	28.62
1011	east	26.11	28.02
1012	east	26.04	27.24
1013	east	25.97	26.64
1014	east	25.9	25.86
1015	east	27.04	25.45
1016	east	27.11	26.23
1017	east	27.18	26.83
1018	east	27.25	27.61
1019	east	27.32	28.39
1020	south	27.65	28.94
1021	south	28.43	28.94
1022	south	29.03	28.94
1023	south	29.81	28.94
1024	south	30.41	28.94
1025	south	31.19	28.94
1026	west	31.52	28.39
1027	west	31.59	27.61
1028	west	31.66	26.83
1029	west	31.73	26.23
1030	west	31.8	25.45
1031	south	28.67	27.5
1032	south	29.42	27.5
1033	south	30.17	27.5
1034	south	28.67	26.07
1035	south	29.42	26.07
1036	south	30.17	26.07
1037	east	36.94	26.27
1038	east	37.01	27.05
1039	east	37.08	27.65
1040	east	37.15	28.43
1041	east	37.22	29.03
1042	east	37.29	29.81
1043	east	37.36	30.59
1044	south	37.73	31.26
1045	south	38.51	31.26
1046	south	39.11	31.26
1047	south	39.89	31.26
1048	south	40.49	31.26
1049	south	41.27	31.26
1050	south	41.87	31.26
1051	south	42.65	31.26
1052	south	43.25	31.26
1053	south	44.03	31.26
1054	south	44.63	31.26
1055	south	45.41	31.26
1056	west	45.78	30.59
1057	west	45.85	29.81
1058	west	45.92	29.03
1059	west	45.99	28.43
1060	west	46.06	27.65
1061	west	46.13	27.05
1062	west	46.2	26.27
1063	west	45.06	25.86
1064	west	44.99	26.64
1065	west	44.92	27.24
1066	west	44.85	28.02
1067	west	44.78	28.62
1068	west	44.71	29.4
1069	south	44.33	30.06
1070	south	43.55	30.06
1071	south	42.95	30.06
1072	south	42.17	30.06
1073	south	41.57	30.06
1074	south	40.79	30.06
1075	south	40.19	30.06
1076	south	39.41	30.06
1077	south	38.63	30.06
1078	east	38.25	29.4
1079	east	38.18	28.62
1080	east	38.11	28.02
1081	east	38.04	27.24
1082	east	37.97	26.64
1083	east	37.9	25.86
1084	east	39.04	25.45
1085	east	39.11	26.23
1086	east	39.18	26.83
1087	east	39.25	27.61
1088	east	39.32	28.39
1089	south	39.65	28.94
1090	south	40.43	28.94
1091	south	41.03	28.94
1092	south	41.81	28.94
1093	south	42.41	28.94
1094	south	43.19	28.94
1095	west	43.52	28.39
1096	west	43.59	27.61
1097	west	43.66	26.83
1098	west	43.73	26.23
1099	west	43.8	25.45
1100	south	40.67	27.5
1101	south	41.42	27.5
1102	south	42.17	27.5
1103	south	40.67	26.07
1104	south	41.42	26.07
1105	south	42.17	26.07
